Genotype,Trait,Year,Location,Rep,Population,Phenotype,Heritability_Source
GEN_001,yield,2022,Auburn_AL,1,North,3.6909554968389244,Ferrão et al. 2021
GEN_002,yield,2022,Auburn_AL,1,North,2.941214873504796,Ferrão et al. 2021
GEN_003,yield,2022,Auburn_AL,1,South,3.295009590051585,Ferrão et al. 2021
GEN_004,yield,2022,Auburn_AL,1,South,0.2861609236623541,Ferrão et al. 2021
GEN_005,yield,2022,Auburn_AL,1,South,3.770888486114658,Ferrão et al. 2021
GEN_006,yield,2022,Auburn_AL,1,North,4.6228824425866835,Ferrão et al. 2021
GEN_007,yield,2022,Auburn_AL,1,North,2.8246459468071845,Ferrão et al. 2021
GEN_008,yield,2022,Auburn_AL,1,South,0.9783799722476663,Ferrão et al. 2021
GEN_009,yield,2022,Auburn_AL,1,South,3.9999593527118837,Ferrão et al. 2021
GEN_010,yield,2022,Auburn_AL,1,South,2.2527573953376088,Ferrão et al. 2021
GEN_011,yield,2022,Auburn_AL,1,South,1.048641724689266,Ferrão et al. 2021
GEN_012,yield,2022,Auburn_AL,1,North,2.439617859653008,Ferrão et al. 2021
GEN_013,yield,2022,Auburn_AL,1,South,2.099030013728095,Ferrão et al. 2021
GEN_014,yield,2022,Auburn_AL,1,North,1.031539494033086,Ferrão et al. 2021
GEN_015,yield,2022,Auburn_AL,1,South,3.8590104862628727,Ferrão et al. 2021
GEN_016,yield,2022,Auburn_AL,1,North,2.065604156210449,Ferrão et al. 2021
GEN_017,yield,2022,Auburn_AL,1,North,3.411034637534892,Ferrão et al. 2021
GEN_018,yield,2022,Auburn_AL,1,South,1.4267494150275175,Ferrão et al. 2021
GEN_019,yield,2022,Auburn_AL,1,North,1.26060880472604,Ferrão et al. 2021
GEN_020,yield,2022,Auburn_AL,1,North,3.2787290735919727,Ferrão et al. 2021
GEN_021,yield,2022,Auburn_AL,1,North,6.031296551544092,Ferrão et al. 2021
GEN_022,yield,2022,Auburn_AL,1,South,1.56205667722041,Ferrão et al. 2021
GEN_023,yield,2022,Auburn_AL,1,North,1.583257585657111,Ferrão et al. 2021
GEN_024,yield,2022,Auburn_AL,1,South,2.347904165546765,Ferrão et al. 2021
GEN_025,yield,2022,Auburn_AL,1,North,3.037486998979502,Ferrão et al. 2021
